,date,tweet,prediction,score
481403,2020-04-22 14:31:09+00:00,@easyJet still not got my refund 😡,refunds,0.0
216748,2020-03-24 20:57:38+00:00,@Winston29916629 @jakubstrojny @missatomicpalm @AntonioJBChaves @lidiatribbiani @Dyren92 @scots_saboteur @niravshah2211 @figenkargi @radfemcat @BenPeterJones @bethan072 @Ryanair So has everyone got a refund now as I still cannot get anything from @Ryanair,refunds,0.0
68313,2020-07-21 14:42:49+00:00,"After 4 months, finally... finally... I got my refund from @lufthansa :)))))",refunds,0.0
564308,2020-06-02 22:52:04+00:00,I just got my refund from @Fly_Norwegian YAYYY!,refunds,0.0
467679,2020-03-29 15:29:34+00:00,"@ljt1986 @1888nic @easyJet So, I got through...but they can’t refund the full amount?!?",refunds,0.0
226804,2020-04-28 12:43:20+00:00,@Ryanair How about getting back to me about my refund ??!,refunds,0.0
314908,2020-06-04 14:57:37+00:00,@EaseMyTrip Have you got the refund from @SAS,refunds,0.0
234866,2020-05-29 14:36:10+00:00,@Ryanair Anyone got refund ??,refunds,0.0
353941,2020-05-26 13:29:27+00:00,@airfrance when am i getting a refund for my flight?,refunds,0.0
487012,2020-05-26 15:05:07+00:00,@easyJet @TRizou I still haven’t got my refund,refunds,0.0
260577,2020-07-27 07:56:12+00:00,"@Ryanair Hi, still have not gotten my refund",refunds,0.0
515930,2020-08-24 19:19:24+00:00,@DgGentle Have you got your refund from @easyJet yet???,refunds,0.0
271053,2020-08-22 08:37:45+00:00,Has anyone got refund from @Ryanair  yet??,refunds,0.0
482122,2020-05-30 15:30:08+00:00,@THarrisonNHC @jet2tweets @easyJet I got my full refund from Jet2,refunds,0.0
564785,2020-07-22 18:01:33+00:00,Have you gotten your refund yet @Danielw46572714 from @Fly_Norwegian,refunds,0.0
86406,2020-09-23 08:56:50+00:00,@SandeepMenon92 @opodo @lufthansa I just got my refund :),refunds,0.0
64373,2020-06-04 17:37:30+00:00,@Andreas72470474 @lufthansa @Delta Nobody got refunded I have the impression...,refunds,0.0
293255,2020-10-14 05:08:51+00:00,@Ryanair It would be for me if I got my refund back,refunds,0.0
233351,2020-05-30 23:35:41+00:00,@WhichUK @UK_CAA Anyone got a refund from @Ryanair,refunds,0.0
423007,2020-07-10 18:52:19+00:00,@KLM But I've still not got my refund,refunds,0.0
227858,2020-04-27 18:26:20+00:00,"@goatteeboy @Ryanair I got my refund in full, Ian. They’ll get back to you eventually.",refunds,0.0
272717,2020-08-20 22:45:22+00:00,@BroganRoganTrev Still not got his refund from @Ryanair yet,refunds,0.0
246717,2020-06-27 06:54:31+00:00,@Ryanair So when we getting refunds ?,refunds,0.0
277813,2020-09-24 13:28:33+00:00,@buzzoneill @Ryanair @RyanairPress @ServiceRyanair @cooper_m have you got your refund yet?,refunds,0.0
224207,2020-04-29 13:48:40+00:00,Anyone else got an e-mail from @Ryanair with a refund trap?,refunds,0.0
130824,2020-04-26 05:16:42+00:00,@itsmarcroberts @British_Airways I got this ? And refund https://t.co/bMIGM1GbRr,refunds,0.0
565745,2020-07-05 00:03:07+00:00,@2069jude @Flight_Refunds @domtakesphotos @Fly_Norwegian @easyJet @easyJet_press I’ve already got my refund for a 6th May fight!,refunds,0.0
498915,2020-06-24 19:09:09+00:00,@Jordyngill16 @OntheBeachUK @easyJet May 1st got refund by may 2nd,refunds,0.0
266614,2020-08-26 20:35:49+00:00,"@Ryanair FYI, still not got our refund @Ste_maca",refunds,0.0
550688,2020-03-13 15:21:56+00:00,@Fly_Norwegian ARE WE GETTING REFUNDS FOR OUR FLIGHTS?,refunds,0.0
83623,2020-08-07 19:43:15+00:00,"@lufthansa For the record, I also got my refund this week.",refunds,0.0
282139,2020-09-18 17:57:05+00:00,@Ryanair When am I getting my refunds Ryanair?,refunds,0.0
83709,2020-08-07 13:36:25+00:00,@Lufthansa_USA who has gotten a refund from #Conair @lufthansa  ?,refunds,0.0
312851,2020-06-29 14:38:38+00:00,@chloemarkham_x @SAS Very weird.  I have got my refund now... but it is the full amount.,refunds,0.0
255506,2020-07-29 16:41:06+00:00,@Ryanair when am I getting my refund,refunds,0.0
498185,2020-06-25 10:13:03+00:00,@SteveAllen__ @easyJet I got my refund on Monday. 👍👏,refunds,0.0
243499,2020-06-29 20:14:58+00:00,@Ryanair When are we getting our refunds,refunds,0.0
218863,2020-03-22 12:07:39+00:00,@Ryanair has anyone got their refunds,refunds,0.0
279891,2020-09-23 08:06:23+00:00,When am I getting my two refunds @Ryanair ? Am I being ignored? https://t.co/x39GS3Y4qA,refunds,0.0
249729,2020-06-24 12:15:32+00:00,@Ryanair I have got refund,refunds,0.0
240446,2020-05-24 19:48:46+00:00,"@Ryanair You've got some nerve, Refund please.",refunds,0.0
266759,2020-08-26 17:47:02+00:00,@RyanairPress @Ryanair When are you gonna “delightfully announce” that you will refund your passengers? 🤔,refunds,0.0
71852,2020-07-09 14:30:18+00:00,@laurenkayco @lufthansa Are they not gonna refund then?,refunds,0.0
37888,2020-03-12 01:59:13+00:00,@lufthansa so you’re not gonna refund me?,refunds,0.0
27590,2020-03-12 01:59:13+00:00,@lufthansa so you’re not gonna refund me?,refunds,0.0
241876,2020-05-23 18:27:02+00:00,@Ryanair I still haven’t got my refund which you promised,refunds,0.535
246959,2020-06-26 19:11:37+00:00,@Ryanair Im ready for my refund 👌 https://t.co/6MLEaRwRfS,refunds,0.556
241183,2020-05-24 12:21:06+00:00,@Ryanair Im ready for a refund,refunds,0.556
432967,2020-09-25 16:13:59+00:00,"@KLM That’s great.
How about making the repayment of our refunds your top priority?
#JustAThought",refunds,0.0
49962,2020-05-26 15:16:10+00:00,"@lufthansa You know what im here for. 

REFUND REMINDER!!!",refunds,0.0
236123,2020-05-28 13:52:49+00:00,@Ryanair I’d like my refund 1st please!,refunds,0.7140000000000001
246015,2020-06-27 19:22:32+00:00,@Ryanair I would like my refund please from May!!,refunds,0.7140000000000001
268530,2020-08-25 10:37:26+00:00,@Ryanair @DonaldJTrumpJr I would like my refund please,refunds,0.7140000000000001
24206,2020-03-16 04:29:09+00:00,@lufthansa I would like to get a refund,refunds,0.7140000000000001
327181,2020-04-23 18:28:01+00:00,"@vueling I would like a full refund on my flight, not a voucher.",refunds,0.7140000000000001
289654,2020-10-19 16:28:55+00:00,@Ryanair @darkinto77 I’d like my refund too.,refunds,0.7140000000000001
231054,2020-04-26 08:31:18+00:00,"@Ryanair Hi, I'd like a refund for my booking, not a voucher, what do I do? Thanks.",refunds,0.7140000000000001
127843,2020-04-28 16:37:47+00:00,@British_Airways I would like my refund now,refunds,0.7140000000000001
240797,2020-05-24 15:55:57+00:00,@Ryanair I’d like my refund please!!!!,refunds,0.7140000000000001
483877,2020-05-28 16:14:09+00:00,@easyJet I’d just like a refund please @easyJet,refunds,0.7140000000000001
386187,2020-03-20 12:25:35+00:00,@KLM I would like a refund please.NOT A VOUCHER.,refunds,0.7140000000000001
34503,2020-03-16 04:29:09+00:00,@lufthansa I would like to get a refund,refunds,0.7140000000000001
546468,2020-03-29 23:42:39+00:00,I would like a full refund @Fly_Norwegian,refunds,0.7140000000000001
240804,2020-05-24 15:51:41+00:00,@Ryanair I’d like my refund please!!!!!,refunds,0.7140000000000001
462852,2020-03-30 16:12:23+00:00,I’d like a full refund @easyJet_press @easyJet how do I do this? https://t.co/aqGRGl181Q,refunds,0.7140000000000001
291492,2020-10-16 12:07:45+00:00,@Ryanair I would like my refund,refunds,0.7140000000000001
288373,2020-10-21 09:39:03+00:00,@Ryanair I'd just like a refund,refunds,0.7140000000000001
268268,2020-08-25 12:52:50+00:00,@Ryanair @DonaldJTrumpJr I would like my refund from May 9th please,refunds,0.7140000000000001
211283,2020-02-13 17:24:03+00:00,@patiencehaileys @STN_Airport @HeathrowAirport @Ryanair @STN_Airport can you like refund her or something?,refunds,0.7140000000000001
485083,2020-05-27 19:55:47+00:00,"@easyJet No, I would like my refund too please",refunds,0.7140000000000001
411741,2020-06-22 19:22:24+00:00,@KLM I would like my refund 1st,refunds,0.7140000000000001
289486,2020-10-19 20:42:07+00:00,@darkinto77 @Ryanair @Ryanair would you like to refund me please,refunds,0.7140000000000001
306914,2020-03-16 22:00:50+00:00,@thisisshite1001 @SAS I would like a full refund too 😳,refunds,0.7140000000000001
231376,2020-04-25 20:30:57+00:00,@Leah_Milliken @FrancescXativa @Ryanair I would like a refund as well,refunds,0.7140000000000001
311416,2020-05-27 13:30:06+00:00,@SAS I didn’t receive any respond on my refund request. Almost nothing.,refunds,0.0
117141,2020-03-29 14:21:50+00:00,Still no reply from you as yet @British_Airways. I'd like my refund,refunds,0.556
273510,2020-09-29 19:54:59+00:00,@Ryanair The one that offers a refund then doesn’t give my money back.,refunds,0.0
247620,2020-06-26 08:29:11+00:00,"@Ryanair Hi! We have been given a voucher, but would like a refund instead, could you please help out?",refunds,0.722
232872,2020-04-25 07:27:31+00:00,Has anyone received a refund from @Ryanair or are they still taking the piss?,refunds,0.0
519436,2020-08-20 14:38:35+00:00,"@easyJet Courtney, please see screenshots. I have not received payment  if the refund for EZ37XDP",refunds,0.0
519430,2020-08-20 14:40:41+00:00,"@easyJet Courtney, please see screenshots. I have not received payment  if the refund for EZ37XDP",refunds,0.0
258016,2020-07-28 12:06:03+00:00,@Ryanair When can I expect to receive my refund,refunds,0.0
500453,2020-06-23 14:26:30+00:00,@StupidityVortex @easyJet Really? I thought they’d issue my refunds 🤷‍♀️,refunds,0.0
239128,2020-05-26 08:23:25+00:00,@Ryanair When are you returning with my refund,refunds,0.0
238959,2020-05-26 09:36:01+00:00,@Ryanair Are you returning with our refund as well ?,refunds,0.0
239937,2020-05-25 13:02:23+00:00,@Ryanair Rather see your return to refunding tbh.,refunds,0.0
183948,2020-09-16 15:52:45+00:00,@suelakru @British_Airways Hi. Can we please discuss the refund,refunds,0.0
500258,2020-06-23 17:00:05+00:00,@easyJet when can I expect my refund please?  Is there some sort of system?,refunds,0.0
246115,2020-06-27 17:22:31+00:00,@Ryanair Bring on my refund,refunds,0.0
246180,2020-06-27 16:29:17+00:00,@Ryanair Bring on refunds,refunds,0.0
246090,2020-06-27 17:51:17+00:00,@Ryanair Bring on Refund Day!,refunds,0.0
246012,2020-06-27 19:26:58+00:00,@Ryanair Bring on that refund 😍,refunds,0.0
246201,2020-06-27 16:21:44+00:00,@Ryanair Bring on refund 💴,refunds,0.0
246195,2020-06-27 16:23:46+00:00,@Ryanair Bring on my refund,refunds,0.0
246194,2020-06-27 16:23:59+00:00,@Ryanair Bring on my refund,refunds,0.0
246187,2020-06-27 16:26:27+00:00,@Ryanair Bring on the refunds 😍 https://t.co/ymsuMmfPRR,refunds,0.0
246182,2020-06-27 16:28:04+00:00,@Ryanair Bring on my refund,refunds,0.0
245830,2020-06-28 05:23:02+00:00,@Ryanair Bring on my refund 🙁,refunds,0.0
246120,2020-06-27 17:15:52+00:00,@Ryanair Bring on my refund #ryanairrefunds,refunds,0.0
245794,2020-06-28 07:53:47+00:00,@Ryanair Bring in my refund first please,refunds,0.0
246148,2020-06-27 16:52:37+00:00,@Ryanair Bring on Refunds,refunds,0.0
246060,2020-06-27 18:29:33+00:00,@Ryanair Bring on my refund please,refunds,0.0
244885,2020-06-29 03:26:36+00:00,@Ryanair Bring on the refund days!,refunds,0.0
246129,2020-06-27 17:04:15+00:00,@Ryanair Bring on refunds,refunds,0.0
246083,2020-06-27 17:54:31+00:00,@Ryanair Bring on my refunds first.,refunds,0.0
243372,2020-06-29 22:51:18+00:00,@Ryanair Bring on the refunds 💵,refunds,0.0
245079,2020-06-28 20:04:26+00:00,@Ryanair Bring on the refunds you thieves.,refunds,0.0
233570,2020-05-30 17:19:03+00:00,@Ryanair How about bringing our refunds first #dickTurpin,refunds,0.0
238458,2020-05-26 13:34:43+00:00,@Ryanair Will you be back issuing refunds this July?,refunds,0.0
239750,2020-05-25 15:00:13+00:00,@Ryanair &amp; you’ll be issuing refunds when??!!,refunds,0.0
390319,2020-03-14 19:55:30+00:00,@KLM Can you issue refund !,refunds,0.0
236794,2020-05-27 21:07:49+00:00,"@Ryanair No excuses, issue refunds now",refunds,0.0
405720,2020-05-14 12:54:22+00:00,@KLM can you issue my refund now please? https://t.co/Rlife05YZO @eccireland @Flight_Refunds @aviationreg #klmrefund,refunds,0.0
274443,2020-09-29 08:08:51+00:00,@Ryanair Why don't you issue refunds at midnight? 🧐,refunds,0.0
467656,2020-03-29 15:35:37+00:00,@easyJet @Matt_Holsman Same here. Being ignored. Please just issue my refund so I can get on with my day.,refunds,0.0
251158,2020-06-23 05:56:30+00:00,@Ryanair get on with it and issue me my refund,refunds,0.0
244337,2020-06-29 12:58:37+00:00,@Ryanair @gam_catty Yet the likes of Jet2 can issue a refund within a week. You’re a joke!,refunds,0.556
240832,2020-05-24 15:29:59+00:00,@Ryanair Taking refunds but where is my refund,refunds,0.0
253910,2020-07-30 16:59:16+00:00,"@Ryanair Hello, can someone respond to my messages? Haven’t received my refund yet.",refunds,0.0
439842,2020-10-14 04:57:18+00:00,@KLM could you give me an update on when I will be receiving my refund please?,refunds,0.0
240026,2020-05-25 11:14:15+00:00,@Ryanair You don’t owe me a refund but refund me anyway,refunds,0.0
223531,2020-04-29 19:49:30+00:00,@Trinnersboy @AdamCampbell05 @al_mackeroo @Ryanair @AerLingus I didn't get that one Adam. Mine never said anything about a refund should you not use it.,refunds,0.0
554903,2020-04-22 13:02:36+00:00,@sTeamTraen @Fly_Norwegian I haven't seen my refund yet either!,refunds,0.0
561955,2020-05-03 20:03:05+00:00,"@Fly_Norwegian 
Wheres my refund",refunds,0.0
239249,2020-05-26 05:07:47+00:00,@Ryanair Wheres my refund you liars!,refunds,0.0
277049,2020-09-25 05:38:22+00:00,@Ryanair Wheres my refund from May?!!,refunds,0.0
266353,2020-08-27 10:11:32+00:00,@Ryanair wheres my refund,refunds,0.0
485520,2020-05-27 14:55:11+00:00,"@easyJet your joking!
wheres my REFUND",refunds,0.0
241380,2020-05-24 10:35:39+00:00,"@Ryanair Thats great, BUT WHERE IS MY REFUND",refunds,0.0
407537,2020-05-07 20:37:13+00:00,@KLM Wheres my refund,refunds,0.0
235207,2020-05-29 10:17:39+00:00,@Ryanair Wheres my refund ??,refunds,0.0
562131,2020-05-02 01:41:16+00:00,@Fly_Norwegian wheres my refund https://t.co/xlwIT2vivg,refunds,0.0
267287,2020-08-26 10:39:35+00:00,@Ryanair How about having a refund bonanza?,refunds,0.0
117270,2020-03-29 12:43:21+00:00,"@British_Airways I have recieved most of my refund but not my £400 deposit, how do I get that refunded",refunds,0.0
307710,2020-03-14 12:02:38+00:00,@SAS Thanks. Will I get confirmation of when the refund is completed?,refunds,0.0
491921,2020-06-29 22:32:36+00:00,"@easyJet I've recieved refunds for three May bookings, just another four to get. Progress....thankyou",refunds,0.0
124771,2020-04-29 15:01:04+00:00,@British_Airways I still haven't recieved neither refund or coupons. It been 2 months.  This is not fair.,refunds,0.0
84204,2020-08-05 08:46:35+00:00,@Ja_Le_C @lufthansa I have not recieved my refund from April!!! @lufthansa,refunds,0.0
546609,2020-03-28 14:11:21+00:00,@Fly_Norwegian I’d like to know when I’ll get my refund please,refunds,0.556
555369,2020-04-20 15:06:55+00:00,"@drewbassler @Fly_Norwegian Drew, did you receive your refund in the end ?",refunds,0.0
266025,2020-08-27 14:29:20+00:00,When do you think I'll receive my @Ryanair refund from April?,refunds,0.0
67197,2020-07-25 08:54:19+00:00,@Dana08251422 @lufthansa We have just received the confirmation that the refund has been made but no money. Is this what you got ?,refunds,0.0
241318,2020-05-24 10:50:56+00:00,@Ryanair Awesome. I assume my refund will be credited now? What's the status? #ryanair #ryanairrefunds #Airlines #travel #CustomerService #flights #airtravel #travel @RyanairFlights,refunds,0.565
262791,2020-07-25 11:43:35+00:00,"@Ryanair Please respond to me, I’ve not received my refund and no one is getting back to me?!",refunds,0.0
323928,2020-03-26 22:40:46+00:00,@MeghanKRoberts @vueling apparently not when the cancellation is beyond their control.,cancellations,0.0
534688,2020-10-21 08:30:49+00:00,@easyJet Did you cancel ARN-BER on 09/11 and no notification email?,cancellations,-0.667
269677,2020-08-24 12:31:06+00:00,@jasonplom @Ryanair @RyanairPress Have they cancelled or was it you that cancelled ?,cancellations,-1.0
415649,2020-06-10 22:13:03+00:00,@Flight_Patrol I didn’t cancel anything. @KLM cancelled the flights.,cancellations,-1.0
546627,2020-03-28 12:27:11+00:00,"@Tellos_ @Fly_Norwegian Really? But if they cancel the flight, not me, what then?",cancellations,-1.0
253532,2020-07-30 20:19:38+00:00,@WattoSue @CosmicBob2 @Ryanair No they cancelled,cancellations,-1.0
414937,2020-06-12 18:57:41+00:00,@KLM And it cancelled i will get a full refund?,cancellations,-1.0
481104,2020-04-22 15:54:12+00:00,How do I go about cancelling @easyJet,cancellations,-1.0
73564,2020-07-05 17:47:40+00:00,@Jaspree36348958 @lufthansa They cancel it,cancellations,-1.0
250213,2020-06-23 20:51:36+00:00,@ange_duncan @evf_c @Ryanair Not criminal.  If they don’t cancel why should they refund?,cancellations,-1.0
70918,2020-07-13 12:13:36+00:00,@lufthansa Is it cancelled in your system?,cancellations,-1.0
70906,2020-07-13 12:40:56+00:00,@Sirofi8 LH1002 has been cancelled on the 15th of August. /Sam,cancellations,-1.0
546784,2020-03-27 14:08:42+00:00,@flightsking @Fly_Norwegian But then was canceled by them.,cancellations,-1.0
318835,2020-09-16 06:24:58+00:00,@SAS Even though you cancelled the flight?,cancellations,-1.0
23819,2020-03-16 14:51:30+00:00,@isaac_abraham @DebugKing @lufthansa Did you cancel or did they?,cancellations,-1.0
283759,2020-10-30 07:02:56+00:00,@KyleSanders89 @Ryanair it was cancelled in may.,cancellations,-1.0
416712,2020-06-06 19:55:23+00:00,"@KLM And then? To cancel my flight, how we do?",cancellations,-1.0
247495,2020-06-26 10:28:39+00:00,@jellybean110909 @Bacardibatman @Ryanair Was that only for a cancelled flight?,cancellations,-1.0
65133,2020-06-02 13:40:44+00:00,@reds_ani @singh92shreshi @Lufthansa_India @lufthansa You’re right. It’s cancelled,cancellations,-1.0
65050,2020-06-02 18:06:06+00:00,@AyushiS17342062 @lufthansa Update: They cancelled my flight.,cancellations,-1.0
289402,2020-10-20 06:37:07+00:00,@Kelly_Jackson88 @Ryanair @OntheBeachUK Did they cancel your flight?,cancellations,-1.0
290645,2020-10-18 06:04:20+00:00,@Ryanair how do I cancel a flight?,cancellations,-1.0
153783,2020-06-20 14:07:36+00:00,@LuxChicTravel @British_Airways Did they say why they had cancelled the flights?,cancellations,-1.0
464522,2020-03-30 12:05:56+00:00,@hhehasitall1 @easyJet And that's them just cancelled now? 😂😂,cancellations,-1.0
385810,2020-03-21 07:33:15+00:00,@NessaCarey @KLM Have they cancelled the flight?,cancellations,-1.0
163146,2020-07-23 15:06:38+00:00,@StephenCrow1 @British_Airways @Gatwick_Airport Why was it cancelled ?,cancellations,-1.0
326442,2020-03-07 11:29:59+00:00,@vueling and you still not cancel your flights... https://t.co/iAyADsvBQ3,cancellations,-1.0
75663,2020-02-27 17:32:09+00:00,@hannahemaute @lufthansa That sticks. Mine is always cancel for any reason.,cancellations,-1.0
558008,2020-04-06 08:23:07+00:00,@jilldressaddict @Fly_Norwegian They’ve still not cancelled them?! That’s awful!,cancellations,-1.0
511689,2020-07-25 21:35:59+00:00,@eddie10oo @easyJet Really? They’ve cancelled your flight?,cancellations,-1.0
267130,2020-08-26 12:17:47+00:00,@Markdolling @Ryanair Who cancelled the holiday?,cancellations,-1.0
549333,2020-03-16 14:57:34+00:00,@Fly_Norwegian @vgmac And what if YOU cancel the flight?,cancellations,-1.0
99824,2020-01-24 01:31:35+00:00,"@British_Airways Had to cancel American...so, back to you 😍@British_Airways @DoweIdeka 😛",cancellations,-1.0
549854,2020-03-15 11:28:38+00:00,@Fly_Norwegian don’t cancel on me https://t.co/3ZWbFsivHD,cancellations,-1.0
499917,2020-06-23 22:46:17+00:00,@JakeGiacobelli @easyJet Have they cancelled it yet?,cancellations,-1.0
499048,2020-06-24 16:26:45+00:00,@nathantaylor92 @OntheBeachUK @easyJet When did they cancel ?,cancellations,-1.0
508704,2020-07-27 11:37:45+00:00,@si123456 @mikesmith1987 @loveholidays @Barclaycard @easyJet @SkyBlueBull Why ain’t you going? Did they cancel on you?,cancellations,-1.0
495693,2020-06-26 22:36:05+00:00,"Yet @easyJet cancelled my #Holiday 🤔🤷🏽‍♀️ 
https://t.co/RPjcZsEuIx",cancellations,-1.0
261940,2020-07-26 08:36:34+00:00,@Ryanair how do I cancel a flight?,cancellations,-1.0
261761,2020-07-26 10:28:52+00:00,@lee946 @Ryanair Was this a cancelled flight?,cancellations,-1.0
494427,2020-06-28 08:40:45+00:00,@TheM94663759 @easyJet It’s cancelled,cancellations,-1.0
317168,2020-08-26 10:47:38+00:00,@SAS You canceled my flight，but why do not give me RFUND？？？？,cancellations,-1.0
119149,2020-03-28 11:01:39+00:00,@ColinMcKinlay @British_Airways Did they cancelled your flight?,cancellations,-1.0
368224,2020-10-28 17:14:16+00:00,@airfrance Where is my May cancelled refund?,cancellations,-1.0
490651,2020-05-22 10:33:12+00:00,@chlomcmaster @easyJet Mine for the 15th is still not cancelled,cancellations,-1.0
278130,2020-09-24 10:33:56+00:00,@Ryanair But will they be cancelled  !!!,cancellations,-1.0
